"","Method","Graph","p","n","Time","TPR","FDR","SHD"
"261","abessdag","BA5","300","300","516.38(33.39)","91.8(5.2)","58.4(5.6)","2058.1(453.4)"
"262","EqVar","BA5","300","300","6869.70(164.97)","93.6(1.1)","65.2(3.6)","2706.8(392.9)"
"263","CLIME","BA5","300","300","1998.06(160.87)","51.5(3.3)","90.1(0.8)","7219.6(357.7)"
"264","PC","BA5","300","300","41.59(3.38)","4.8(0.7)","73.3(3.5)","1556.0(19.6)"
"265","GES","BA5","300","300","1741.08(189.02)","46.2(2.6)","86.0(1.3)","4552.4(242.1)"
"266","MMHC","BA5","300","300","11.89(0.33)","4.3(0.6)","76.0(2.6)","1551.7(13.6)"
"267","EqVar","BA5","300","300","6869.70(164.97)","93.6(1.1)","65.2(3.6)","2706.8(392.9)"
"268","CLIME","BA5","300","300","1998.06(160.87)","51.5(3.3)","90.1(0.8)","7219.6(357.7)"
"269","PC","BA5","300","300","41.59(3.38)","4.8(0.7)","73.3(3.5)","1556.0(19.6)"
"270","GES","BA5","300","300","1741.08(189.02)","46.2(2.6)","86.0(1.3)","4552.4(242.1)"
"271","MMHC","BA5","300","300","11.89(0.33)","4.3(0.6)","76.0(2.6)","1551.7(13.6)"
"272","EqVar","BA5","300","300","6869.70(164.97)","93.6(1.1)","65.2(3.6)","2706.8(392.9)"
"273","CLIME","BA5","300","300","1998.06(160.87)","51.5(3.3)","90.1(0.8)","7219.6(357.7)"
"274","PC","BA5","300","300","41.59(3.38)","4.8(0.7)","73.3(3.5)","1556.0(19.6)"
"275","GES","BA5","300","300","1741.08(189.02)","46.2(2.6)","86.0(1.3)","4552.4(242.1)"
"276","MMHC","BA5","300","300","11.89(0.33)","4.3(0.6)","76.0(2.6)","1551.7(13.6)"
"277","EqVar","BA5","300","300","6869.70(164.97)","93.6(1.1)","65.2(3.6)","2706.8(392.9)"
"278","CLIME","BA5","300","300","1998.06(160.87)","51.5(3.3)","90.1(0.8)","7219.6(357.7)"
"279","PC","BA5","300","300","41.59(3.38)","4.8(0.7)","73.3(3.5)","1556.0(19.6)"
"280","GES","BA5","300","300","1741.08(189.02)","46.2(2.6)","86.0(1.3)","4552.4(242.1)"
"281","MMHC","BA5","300","300","11.89(0.33)","4.3(0.6)","76.0(2.6)","1551.7(13.6)"
"282","EqVar","BA5","300","300","6869.70(164.97)","93.6(1.1)","65.2(3.6)","2706.8(392.9)"
"283","CLIME","BA5","300","300","1998.06(160.87)","51.5(3.3)","90.1(0.8)","7219.6(357.7)"
"284","PC","BA5","300","300","41.59(3.38)","4.8(0.7)","73.3(3.5)","1556.0(19.6)"
"285","GES","BA5","300","300","1741.08(189.02)","46.2(2.6)","86.0(1.3)","4552.4(242.1)"
"286","MMHC","BA5","300","300","11.89(0.33)","4.3(0.6)","76.0(2.6)","1551.7(13.6)"
"287","abessdag","BA5","300","1000","6014.29(468.31)","99.4(0.9)","54.5(9.0)","1921.8(920.7)"
"288","EqVar","BA5","300","1000","13966.15(7021.42)","99.7(0.2)","59.2(6.1)","2220.3(603.1)"
"289","CLIME","BA5","300","1000","3258.58(2476.21)","90.9(1.1)","75.0(2.9)","4117.1(614.9)"
"290","PC","BA5","300","1000","84.15(159.40)","4.6(0.7)","74.6(3.2)","1559.5(16.7)"
"291","GES","BA5","300","1000","6615.80(4790.28)","50.3(3.7)","89.0(1.1)","6209.0(319.1)"
"292","MMHC","BA5","300","1000","31.83(7.07)","5.1(0.9)","74.4(3.5)","1553.3(16.3)"
"293","EqVar","BA5","300","1000","13966.15(7021.42)","99.7(0.2)","59.2(6.1)","2220.3(603.1)"
"294","CLIME","BA5","300","1000","3258.58(2476.21)","90.9(1.1)","75.0(2.9)","4117.1(614.9)"
"295","PC","BA5","300","1000","84.15(159.40)","4.6(0.7)","74.6(3.2)","1559.5(16.7)"
"296","GES","BA5","300","1000","6615.80(4790.28)","50.3(3.7)","89.0(1.1)","6209.0(319.1)"
"297","MMHC","BA5","300","1000","31.83(7.07)","5.1(0.9)","74.4(3.5)","1553.3(16.3)"
"298","EqVar","BA5","300","1000","13966.15(7021.42)","99.7(0.2)","59.2(6.1)","2220.3(603.1)"
"299","CLIME","BA5","300","1000","3258.58(2476.21)","90.9(1.1)","75.0(2.9)","4117.1(614.9)"
"300","PC","BA5","300","1000","84.15(159.40)","4.6(0.7)","74.6(3.2)","1559.5(16.7)"
"301","GES","BA5","300","1000","6615.80(4790.28)","50.3(3.7)","89.0(1.1)","6209.0(319.1)"
"302","MMHC","BA5","300","1000","31.83(7.07)","5.1(0.9)","74.4(3.5)","1553.3(16.3)"
"303","EqVar","BA5","300","1000","13966.15(7021.42)","99.7(0.2)","59.2(6.1)","2220.3(603.1)"
"304","CLIME","BA5","300","1000","3258.58(2476.21)","90.9(1.1)","75.0(2.9)","4117.1(614.9)"
"305","PC","BA5","300","1000","84.15(159.40)","4.6(0.7)","74.6(3.2)","1559.5(16.7)"
"306","GES","BA5","300","1000","6615.80(4790.28)","50.3(3.7)","89.0(1.1)","6209.0(319.1)"
"307","MMHC","BA5","300","1000","31.83(7.07)","5.1(0.9)","74.4(3.5)","1553.3(16.3)"
"308","EqVar","BA5","300","1000","13966.15(7021.42)","99.7(0.2)","59.2(6.1)","2220.3(603.1)"
"309","CLIME","BA5","300","1000","3258.58(2476.21)","90.9(1.1)","75.0(2.9)","4117.1(614.9)"
"310","PC","BA5","300","1000","84.15(159.40)","4.6(0.7)","74.6(3.2)","1559.5(16.7)"
"311","GES","BA5","300","1000","6615.80(4790.28)","50.3(3.7)","89.0(1.1)","6209.0(319.1)"
"312","MMHC","BA5","300","1000","31.83(7.07)","5.1(0.9)","74.4(3.5)","1553.3(16.3)"
